"train_time","test_time","auc","participant"
0.96,-0.08,0.486838942307692,1
0.96,-0.08,0.488998397435897,2
0.96,-0.08,0.5059375,3
0.96,-0.08,0.491610576923077,4
0.96,-0.08,0.507482741617357,5
0.96,-0.08,0.48474358974359,6
0.96,-0.08,0.502367788461539,7
0.96,-0.08,0.55390625,8
0.96,-0.08,0.526282051282051,9
0.96,-0.08,0.48890625,10
0.98,-0.08,0.482808493589744,1
0.98,-0.08,0.529839743589744,2
0.98,-0.08,0.45171875,3
0.98,-0.08,0.519975961538462,4
0.98,-0.08,0.529446088099934,5
0.98,-0.08,0.479202724358974,6
0.98,-0.08,0.492303685897436,7
0.98,-0.08,0.59546875,8
0.98,-0.08,0.514423076923077,9
0.98,-0.08,0.51890625,10
1,-0.08,0.504811698717949,1
1,-0.08,0.545116185897436,2
1,-0.08,0.47390625,3
1,-0.08,0.485484775641026,4
1,-0.08,0.573311143984221,5
1,-0.08,0.443685897435897,6
1,-0.08,0.503221153846154,7
1,-0.08,0.53,8
1,-0.08,0.551282051282051,9
1,-0.08,0.52234375,10
-0.2,-0.06,0.466286057692308,1
-0.2,-0.06,0.479042467948718,2
-0.2,-0.06,0.47203125,3
-0.2,-0.06,0.54515625,4
-0.2,-0.06,0.541177679158448,5
-0.2,-0.06,0.508413461538462,6
-0.2,-0.06,0.526678685897436,7
-0.2,-0.06,0.46421875,8
-0.2,-0.06,0.486698717948718,9
-0.2,-0.06,0.50796875,10
-0.18,-0.06,0.445560897435897,1
-0.18,-0.06,0.440649038461538,2
-0.18,-0.06,0.5153125,3
-0.18,-0.06,0.546478365384615,4
-0.18,-0.06,0.550764299802761,5
-0.18,-0.06,0.477652243589744,6
-0.18,-0.06,0.492872596153846,7
-0.18,-0.06,0.4415625,8
-0.18,-0.06,0.506891025641026,9
-0.18,-0.06,0.54953125,10
-0.16,-0.06,0.398926282051282,1
-0.16,-0.06,0.489891826923077,2
-0.16,-0.06,0.47515625,3
-0.16,-0.06,0.525504807692308,4
-0.16,-0.06,0.525641025641026,5
-0.16,-0.06,0.495472756410256,6
-0.16,-0.06,0.512852564102564,7
-0.16,-0.06,0.48484375,8
-0.16,-0.06,0.535416666666667,9
-0.16,-0.06,0.51046875,10
-0.14,-0.06,0.487528044871795,1
-0.14,-0.06,0.451434294871795,2
-0.14,-0.06,0.45578125,3
-0.14,-0.06,0.507015224358974,4
-0.14,-0.06,0.472107166337936,5
-0.14,-0.06,0.549094551282051,6
-0.14,-0.06,0.534194711538462,7
-0.14,-0.06,0.50609375,8
-0.14,-0.06,0.517307692307692,9
-0.14,-0.06,0.42296875,10
-0.12,-0.06,0.5075,1
-0.12,-0.06,0.51802483974359,2
-0.12,-0.06,0.49171875,3
-0.12,-0.06,0.528986378205128,4
-0.12,-0.06,0.487898586456279,5
-0.12,-0.06,0.466726762820513,6
